"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-10-22",3292.29,3368.74,48.06,"1.45%",3282.99,3373.78,323739328,37545200,"-",3378.56,3325.73,3219.17,3193.13,3213.77,3341.11,3420.05
"2015-10-23",3377.55,3412.43,43.7,"1.30%",3360.22,3422.02,347372864,42526308,"-",3382.78,3348.66,3234.9,3201.54,3204.23,3335.47,3409.82
"2015-10-26",3448.65,3429.58,17.15,"0.50%",3402,3457.52,365560864,45394252,"-",3391.35,3362.85,3248.55,3213.18,3198.36,3330.83,3398.25
"2015-10-27",3409.14,3434.34,4.76,"0.14%",3332.62,3441.57,328172768,40888724,"-",3393.15,3376.97,3260.98,3221.97,3196.53,3324.63,3387.64
"2015-10-28",3417.01,3375.2,-59.14,"-1.72%",3367.23,3439.76,293523296,36165620,"-",3404.06,3388.24,3273.95,3226.38,3200.66,3313.57,3381.8
"2015-10-29",3387.77,3387.32,12.12,"0.36%",3362.51,3411.71,235676016,29450842,"-",3407.77,3393.17,3286.18,3232.69,3211.22,3302.75,3377.21
"2015-10-30",3380.28,3382.56,-4.75,"-0.14%",3346.59,3417.2,243595120,30726678,"-",3401.8,3392.29,3300.69,3238.77,3222.6,3292.68,3370.43
"2015-11-02",3337.58,3325.08,-57.48,"-1.70%",3322.31,3391.06,230951136,28601932,"-",3380.9,3386.13,3311.91,3245.78,3228.64,3280.09,3364.09
"2015-11-03",3330.32,3316.7,-8.39,"-0.25%",3302.18,3346.27,192897440,24436056,"-",3357.37,3375.26,3325.84,3256.16,3230.74,3267.12,3358.3
"2015-11-04",3325.62,3459.64,142.94,"4.31%",3325.62,3459.65,339078752,42610440,"-",3374.26,3389.16,3346.18,3266.41,3237.09,3256.44,3355.58
"2015-11-05",3459.22,3522.82,63.18,"1.83%",3455.53,3585.66,553254976,67867464,"-",3401.36,3404.57,3365.15,3280.97,3245.99,3251.93,3351.69
"2015-11-06",3514.44,3590.03,67.21,"1.91%",3508.83,3596.38,429167040,54328220,"-",3442.85,3422.33,3385.5,3297.37,3256.74,3247.85,3349.94
